,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENW,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,1,19:34,,,,,"TURNOVER  by JENKINS,KYANA",,,"TURNOVER  by JENKINS,KYANA",1,turnover,,oglethorpe,kyana jenkins,,1174
2,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,2,19:04,"MISS 3PTR by HARTLAGE,MAGGIE",,,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,1144
3,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,3,19:04,,,,,"BLOCK  by WILLIAMS,KALIN",,,"BLOCK  by WILLIAMS,KALIN",1,block,,oglethorpe,kalin williams,,1144
4,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,4,--,,,,,"REBOUND DEF by COLE,GABBY",,,"REBOUND DEF by COLE,GABBY",1,defensive rebound,,oglethorpe,gabby cole,,
5,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,5,18:40,,,,,"MISS 3PTR by COLE,GABBY",,,"MISS 3PTR by COLE,GABBY",1,three pointer,missed,oglethorpe,gabby cole,,1120
6,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,6,--,"REBOUND DEF by HARTLAGE,MAGGIE",,,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
7,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,7,18:24,,,,,"FOUL  by JENKINS,KYANA",,,"FOUL  by JENKINS,KYANA",1,foul,,oglethorpe,kyana jenkins,,1104
8,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,8,18:24,"GOOD FT by STOUGH,MARY",1 (+1),,0,,CENW 1-0 (+1),,"GOOD FT by STOUGH,MARY",1,free throw,good,Centre,mary stough,1,1104
9,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,9,18:24,"GOOD FT by STOUGH,MARY",2 (+2),,0,,CENW 2-0 (+2),,"GOOD FT by STOUGH,MARY",1,free throw,good,Centre,mary stough,1,1104
10,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,10,18:22,,,,,"TURNOVER  by GILES,SARAH",,,"TURNOVER  by GILES,SARAH",1,turnover,,oglethorpe,sarah giles,,1102
11,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,11,--,"ASSIST  by MIRE,JENNA",,,,,,,"ASSIST  by MIRE,JENNA",1,assist,,Centre,jenna mire,,
12,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,12,18:10,"GOOD JUMPER by BAECHLE,PAIGE",4 (+4),,0,,CENW 4-0 (+4),,"GOOD JUMPER by BAECHLE,PAIGE",1,jumper,good,Centre,paige baechle,2,1090
13,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,13,17:33,,,,,"MISS JUMPER by BUCK,EMILY",,,"MISS JUMPER by BUCK,EMILY",1,jumper,missed,oglethorpe,emily buck,,1053
14,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,14,17:33,"BLOCK  by STOUGH,MARY",,,,,,,"BLOCK  by STOUGH,MARY",1,block,,Centre,mary stough,,1053
15,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,15,--,"REBOUND DEF by STOUGH,MARY",,,,,,,"REBOUND DEF by STOUGH,MARY",1,defensive rebound,,Centre,mary stough,,
16,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,16,17:20,"TURNOVER  by BAECHLE,PAIGE",,,,,,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,1040
17,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,17,17:20,,,,,"STEAL  by COLE,GABBY",,,"STEAL  by COLE,GABBY",1,steal,,oglethorpe,,,1040
18,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,18,17:15,,,,,"MISS JUMPER by GILES,SARAH",,,"MISS JUMPER by GILES,SARAH",1,jumper,missed,oglethorpe,sarah giles,,1035
19,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,19,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
20,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,20,17:01,"GOOD 3PTR by MIRE,JENNA",7 (+7),,0,,CENW 7-0 (+7),,"GOOD 3PTR by MIRE,JENNA",1,three pointer,good,Centre,jenna mire,3,1021
21,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,21,--,"ASSIST  by WINSTEAD,BRIDGET",,,,,,,"ASSIST  by WINSTEAD,BRIDGET",1,assist,,Centre,bridget winstead,,
22,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,22,17:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,1021
23,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,23,16:45,,,,,"MISS 3PTR by COLE,GABBY",,,"MISS 3PTR by COLE,GABBY",1,three pointer,missed,oglethorpe,gabby cole,,1005
24,19,oglethorpe,Centre College,Oglethorpe,46-40,46,40,"22, 24, 46","22, 18, 40",22,24,46,22,18,40,"9-10, 7-2 SAA","4-16, 2-7 SAA",02/01/13,Win,230,No Location Recorded,6:00 PM,A,24,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
